LON,LAT
-63.1858333333333,47.4027777777778
-63.3025,47.6058333333333
-63.2538888888889,47.7536111111111
-63.2019444444444,47.4280555555556
-63.2694444444444,47.3208333333333
-63.2083333333333,47.5025
-63.2061111111111,47.41
-63.1916666666667,47.2994444444444
-63.2575,47.38
-63.2197222222222,47.4719444444444
-63.2316666666667,47.3541666666667
-63.1852777777778,47.5941666666667
-63.2108333333333,47.5113888888889
-63.2888888888889,47.5436111111111
-63.1883333333333,47.4005555555556
-63.2197222222222,47.3380555555556
-63.1863888888889,47.3225
-63.1777777777778,47.5294444444444
-63.2588888888889,47.3255555555556
-63.2775,47.3486111111111
-63.2611111111111,47.4136111111111
-63.2019444444444,47.4280555555556
-63.1727777777778,47.4272222222222
-63.1527777777778,47.3930555555556
-63.1880555555556,47.3408333333333
-63.2586111111111,47.4680555555556
-63.2638,47.4208
-63.259,47.6243
-63.1965,47.4271
-63.1823,47.4122
-63.205,47.6981
-63.2583,47.3992
-63.2165,47.3947
-63.1992,47.3617
-63.1875,47.4134
-63.2842,47.448
-63.2244,47.3896
-63.2219,47.3856
-63.2034,47.713
-63.1775,47.705
-63.1842,47.6587
-63.29,47.4285
-63.1668,47.7468
-63.2812,47.7238
-63.2943,47.6073
-63.21,47.7433
-63.2931,47.4628
-63.1767,47.5692
-63.2067,47.5408
-63.205,47.5308
-63.2873,47.4445
-63.234,47.4256
-63.1592,47.4585
-63.1422,47.5262
-63.1537,47.5657
-63.163,47.431
-63.1548,47.4328
-63.2754,47.4324
-63.298,47.4361
-63.2134,47.3973
-63.1751,47.3275
-63.212,47.3262
